SIVA Terminal,SIVA Terminal #,Terminal 1,Terminal 2,Terminal 3
Green1,1,8-5,4-10,4-5
Green2,2,9-10,10-3,8-3
Green3,3,7-8,3-4,9-12
Green4,4,1-2,6-10,12-11
Green5,5,12-10,6-5,1-1
Green6,6,1-7,9-5,10-6
Green7,7,6-7,4-1,1-11
White1,8,8-10,7-9,4-8
White2,9,9-11,7-2,8-9
White3,10,7-8,1-9,6-5
White4,11,11-2,8-2,9-2
White5,12,4-6,9-2,10-8
White6,13,1-7,2-8,5-6
White7,14,3-5,2-4,9-12
Yellow1,15,9-7,3-5,2-8
Yellow2,16,1-10,5-2,2-4
Yellow3,17,10-3,8-4,9-12
Yellow4,18,12-7,11-7,1-12
Yellow5,19,5-11,7-2,7-6
Yellow6,20,1-11,6-4,6-10
Yellow7,21,11-9,11-4,9-3
Red1,22,7-11,1-9,7-9
Red2,23,4-8,2-6,5-5
Red3,24,11-11,8-7,1-12
Red4,25,7-12,6-5,2-2
Red5,26,8-11,4-12,10-10
Red6,27,12-1,3-10,12-10
Red7,28,7-4,3-7,3-8
Cyan1,29,10-5,6-12,3-12
Cyan2,30,10-6,5-2,5-7
Cyan3,31,9-6,1-6,9-8
Cyan4,32,1-3,7-7,4-12
Cyan5,33,10-10,2-6,12-8
Cyan6,34,5-11,3-12,1-8
Cyan7,35,9-4,10-9,7-2
Blue1,36,9-10,11-11,8-7
Blue2,37,9-11,3-10,9-5
Blue3,38,8-7,4-8,8-10
Blue4,39,2-11,1-6,6-10
Blue5,40,8-12,11-7,3-1
Blue6,41,2-11,12-8,9-1
Blue7,42,11-4,4-6,12-5
Purple1,43,6-11,12-8,5-11
Purple2,44,2-6,8-9,6-8
Purple3,45,9-10,3-3,11-6
Purple4,46,5-10,10-1,4-8
Purple5,47,2-10,7-1,1-7
Purple6,48,5-6,1-7,8-9
Purple7,49,6-8,10-7,11-9
