SIVA Terminal,SIVA Terminal #,Terminal 1,Terminal 2,Terminal 3
Green1,1,4-3,2-4,2-9
Green2,2,2-4,1-6,3-10
Green3,3,9-3,12-7,12-12
Green4,4,10-3,2-3,7-11
Green5,5,7-4,2-7,7-9
Green6,6,10-12,11-5,8-12
Green7,7,3-3,1-3,6-8
White1,8,1-1,2-12,8-10
White2,9,10-2,3-8,9-3
White3,10,8-6,2-9,2-10
White4,11,12-5,7-1,5-7
White5,12,4-8,12-8,9-3
White6,13,7-2,8-3,3-12
White7,14,6-9,12-10,8-5
Yellow1,15,4-9,9-4,5-5
Yellow2,16,2-5,11-2,3-5
Yellow3,17,1-7,12-3,8-4
Yellow4,18,7-9,6-5,5-12
Yellow5,19,8-6,9-2,12-12
Yellow6,20,2-7,2-11,9-10
Yellow7,21,11-4,4-11,12-3
Red1,22,1-2,1-4,11-4
Red2,23,1-1,4-5,6-5
Red3,24,8-10,5-6,11-11
Red4,25,11-4,5-4,7-6
Red5,26,5-6,7-3,7-10
Red6,27,1-10,7-11,3-12
Red7,28,11-6,12-8,11-11
Cyan1,29,2-6,5-4,10-3
Cyan2,30,8-4,5-8,9-4
Cyan3,31,1-12,1-1,5-4
Cyan4,32,6-11,11-4,12-4
Cyan5,33,12-2,11-4,10-2
Cyan6,34,8-12,5-9,9-4
Cyan7,35,8-5,11-8,11-11
Blue1,36,12-5,12-11,4-4
Blue2,37,10-5,11-2,3-1
Blue3,38,11-11,7-3,8-11
Blue4,39,4-6,5-6,5-12
Blue5,40,7-12,1-2,5-4
Blue6,41,11-1,5-7,10-2
Blue7,42,11-4,2-8,4-8
Purple1,43,6-5,6-10,1-1
Purple2,44,9-9,8-10,8-6
Purple3,45,11-7,6-3,12-5
Purple4,46,9-7,7-8,12-7
Purple5,47,2-9,12-3,10-2
Purple6,48,4-3,2-11,4-7
Purple7,49,5-9,11-7,12-10
